column,name,short_name,type,Description,Derived?
1,host,host,chr,host from which the metrics where collected,N
2,process,process,chr,process name,N
3,timestamp,timestamp,dttm,time metrics where collected,N
4,isAnomaly,isAnomaly,chr,label for anomaly or not,N
5,Prepared statement cache hit rate:((source06.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source06.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source06.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
6,Memory space usage:((Code.MemoryPool.Usage.committed / Code.MemoryPool.Usage.max)),Memory space usage:Code.Committed,dbl,"Committed memory of max, Code",Y
7,Active connections:(source04.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source04.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
8,Available db connection activity:(d/dx (source02.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source02.JDBCDataSourceRuntime,dbl,"Number of available connections, source",N
9,Active connections:(source03.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source03.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
10,DB connection started:(incld/dx (source02.JDBCDataSourceRuntime.ConnectionsTotalCount)),DB connection started:source02.JDBCDataSourceRuntime,dbl,"Number of connections started, source",N
11,Heap usage activity:(d/dx (Memory.HeapMemoryUsage.used)),Heap usage activity,dbl,heap usage,N
12,Connection delay:(source10.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source10.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
13,Stuck threads:(ThreadPoolRuntime.ThreadPoolRuntime.StuckThreadCount),Stuck threads:ThreadPoolRuntime,dbl,Stuck Threads,N
14,Reserve request activity:(incld/dx (source02.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source02.JDBCDataSourceRuntime,dbl,Reserve request activity,N
15,Stuck threads:(DataRetirementWorkManager.WorkManagerRuntime.StuckThreadCount),Stuck threads:DataRetirementWorkManager,dbl,Stuck Threads,N
16,DB connection started:(incld/dx (source09.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source09.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
17,Connection delay:(source06.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source06.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
18,Active connections:(source01.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source01.JDBCDataSourceRuntime,dbl,"Count of active JDBC connections, source",N
19,Memory space activity:(d/dx ((PS Old Gen.MemoryPool.Usage.committed / PS Old Gen.MemoryPool.Usage.max))),Memory space commited/max:PS Old Gen,dbl,"Activity, Committed memory of max, PS Old Gen",Y
20,Active connections:(source08.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source08.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
21,Rel. heap committed:((Memory.HeapMemoryUsage.committed / Memory.HeapMemoryUsage.max)),Rel. heap committed,dbl,Relative committed heao,Y
22,Active connections:(source05.JDBCConnectionPoolRuntime.ActiveConnectionsCurrentCount),Active connections:source05.JDBCConnectionPoolRuntime,dbl,"Count of active JDBC connections, pool",N
23,DB connection started:(incld/dx (source01.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source01.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
24,Rel. nonHeap usage:((Memory.NonHeapMemoryUsage.used / Memory.NonHeapMemoryUsage.max)),Rel. nonHeap usage,dbl,Relative non-heap used,Y
25,DB connection started:(incld/dx (source03.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source03.JDBCConnectionPoolRuntime,dbl,"Number of connections started, pool",N
26,Prepared statement cache hit rate:((source01.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source01.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source01.JDBCDataSourceRuntime,dbl,"Prepared statement cahce hit rate, source",Y
27,Connection delay:(source03.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source03.JDBCDataSourceRuntime,dbl,"Connection delay, source",N
